Gene,Type
Csf1r,Homeostatic
P2ry13,Homeostatic
Apoe,Mediators of neuroinflammation
Ccl3,Mediators of neuroinflammation
Ccl4,Mediators of neuroinflammation
Cd52,Mediators of neuroinflammation
Cst7,Mediators of neuroinflammation
Fabp5,Mediators of neuroinflammation
Tyrobp,Mediators of neuroinflammation
Cd14,Mediators of neuroinflammation
Cd33,Mediators of neuroinflammation
Ifngr1,Mediators of neuroinflammation
Ly86,Mediators of neuroinflammation
Map4k4,Mediators of neuroinflammation
Cd300a,Negative inhibitor or neuroinflammation
Il10ra,Negative inhibitor or neuroinflammation
Il10rb,Negative inhibitor or neuroinflammation
